combo,combo_title,metric_family,metric,percentile,policy,policy_label,per_gpu_rate,mean,min,max,unit,window_low,window_high
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,1.25,0.5626434599980712,0.1779748164117336,0.9473121035844088,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,1.5,2.8570982650853693,2.266365695744753,3.447830834425986,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,1.75,5.070969608612359,4.788489315658808,5.353449901565909,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,2.0,6.676280114799738,6.267332423478365,7.085227806121111,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,2.25,8.013504804112017,7.402815753594041,8.624193854629993,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,1.0,0.10229092556983224,0.0939714526757597,0.1106103984639048,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,1.25,0.32412845036014915,0.1343654869124293,0.513891413807869,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,1.5,0.28534167958423495,0.1615199316293001,0.4091634275391698,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,1.75,1.1900843321345747,0.1714277816936373,2.208740882575512,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,2.0,1.939155244268477,0.235234229825437,3.643076258711517,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,2.25,2.986146113369614,0.6420449251309037,5.330247301608324,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1.0,12.64364718971774,10.962863157875836,14.324431221559642,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1.25,22.352746533509347,21.73115761950612,22.97433544751257,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1.5,28.924985660798846,28.86773225124925,28.98223907034844,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1.75,33.902542958036065,33.42799233645201,34.37709357962012,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,2.0,37.47018913384527,36.65670122075826,38.28367704693227,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,2.25,40.302121941652146,39.04279140997678,41.56145247332751,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,1.0,1.078612679988146,0.2487889256328344,1.9084364343434572,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,1.25,12.306059155333786,7.85006877016276,16.76204954050481,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,1.5,19.357607003673905,14.186243183910843,24.528970823436964,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,1.75,25.294156322721392,19.62254557274282,30.96576707269996,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,2.0,26.962720054294913,22.188672551512717,31.736767557077105,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,2.25,32.87437011385337,27.945613557845352,37.80312666986138,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,0.75,0.7674637839262499,0.6243503320782187,0.9105772357742812,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,1.0,1.1621022399476564,1.1368449749534617,1.1873595049418508,s/token,0.75,2.0
