combo,combo_title,metric_family,metric,percentile,policy,policy_label,seed,per_gpu_rate,value,unit,window_low,window_high
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,0,1.5,0.1615199316293001,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,1,1.5,0.4091634275391698,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,0,1.75,0.1714277816936373,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,1,1.75,2.208740882575512,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,0,2.0,0.235234229825437,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,1,2.0,3.643076258711517,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,0,2.25,0.6420449251309037,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,1,2.25,5.330247301608324,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,0,1.0,14.324431221559642,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1,1.0,10.962863157875836,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,0,1.25,22.97433544751257,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1,1.25,21.73115761950612,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,0,1.5,28.86773225124925,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1,1.5,28.98223907034844,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,0,1.75,33.42799233645201,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1,1.75,34.37709357962012,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,0,2.0,36.65670122075826,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1,2.0,38.28367704693227,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,0,2.25,39.04279140997678,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1,2.25,41.56145247332751,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,0,1.0,0.2487889256328344,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,1,1.0,1.9084364343434572,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,0,1.25,7.85006877016276,s,1.0,2.25
