combo,workload,policy,per_gpu_rate,ttft_s_p90,tpot_s_p90,context_queue_s_median,bridge_queue_s_median,decode_queue_s_median,context_exec_s_median,decode_exec_s_median,phase_decode_handoff_debt_pressure_mean,phase_decode_rho_hard_mean,phase_decode_infeasible_rounds,phase_context_prefill_budget_ratio_mean,phase_decode_kas_intensity_mean
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,0.25,0.5840440457686782,0.050639648688957054,0.0009785294532775502,0.0092275738716125,0.0010641813278198,0.36452794075012207,0.31985771656036377,0.019450969409583,0.08653264064021914,3.0,0.975224968340757,0.0886413274743063
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,0.5,5.758463265839964,0.5875324990003975,0.2855193018913269,0.029022157192230152,0.0011201500892639,0.36188292503356934,0.3304068446159363,0.2531189221405057,0.2249239900211235,166.5,0.927475213589707,0.4144601067764328
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,0.75,17.39407658111304,0.7844927984485892,7.704425513744354,0.3697591423988342,0.0011544227600097001,0.36194843053817743,0.3504446744918823,0.45104800830245156,0.36630580315720807,719.5,0.8903077635351015,0.5058356697626447
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,1.0,28.88440788909793,0.8577721819850719,11.50822925567627,0.3697148561477661,0.00114834308624265,0.3633387088775635,0.349163293838501,0.47066598261439563,0.39419384402197477,719.5,0.8902015766982021,0.5064323135646799
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,1.25,36.868098319508135,0.9212468480380873,15.376546263694765,0.4186033606529236,0.00114732980728145,0.36302596330642695,0.34314125776290894,0.48356020177861164,0.5369480754529182,891.0,0.8579344382319709,0.6523587035185111
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,1.5,42.02994334837422,0.8782580184051767,18.06058382987976,0.4016633033752441,0.0011441111564636,0.36347389221191406,0.34375905990600586,0.4852281840638085,0.5901804237807089,754.0,0.7902525770684543,0.9354665776149568
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,1.75,45.72890467196703,0.8882960516959428,20.031428515911102,0.4422970414161682,0.0011392831802368,0.3635064363479614,0.35039979219436646,0.48894309753832044,0.6816372671054637,756.5,0.780615857339239,1.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,2.0,48.61787596810609,0.897918229107745,21.733168482780457,0.43618279695510864,0.0011464357376098498,0.3631498217582702,0.3501385450363159,0.48926072003401255,0.7728838666845131,758.0,0.7784096237440576,1.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,2.25,50.87760450551286,0.897250779531896,23.0665323138237,0.41307997703552246,0.00114995241165155,0.36390411853790283,0.35018640756607056,0.48837193279480096,0.5532878869850406,758.0,0.8699814074253489,0.6848382727833616
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,2.5,52.66120315110311,0.8983450251165777,24.15929502248764,0.4392610192298889,0.00114107131958,0.36355459690093994,0.35108524560928345,0.4890886357769747,0.5776771296957581,758.0,0.791317253178132,0.9352134540750323
