global_rate,per_gpu_rate,policy,label,n,slo_attainment_completed_mean,slo_attainment_completed_std,slo_attainment_submitted_mean,slo_attainment_submitted_std,goodput_req_s_mean,goodput_req_s_std,throughput_req_s_mean,throughput_req_s_std,throughput_completed_req_s_mean,throughput_completed_req_s_std,ttft_p50_mean,ttft_p50_std,ttft_p90_mean,ttft_p90_std,ttft_p95_mean,ttft_p95_std,ttft_p99_mean,ttft_p99_std,tpot_p50_mean,tpot_p50_std,tpot_p90_mean,tpot_p90_std,tpot_p95_mean,tpot_p95_std,tpot_p99_mean,tpot_p99_std
2.5,1.25,bps_pbc,w/o KAS,2,0.265625,0.0441941738241592,0.265625,0.0441941738241592,0.3771666425883975,0.0726319962381611,1.4167838921792042,0.0377163393352453,1.4167838921792042,0.0377163393352453,1.0994431106373668,0.4114053626299546,13.476809945330022,3.27253339710625,15.531750910449771,2.82615593025674,17.557990642357623,1.101894061152232,0.112843920381554,0.0132944864121415,1.7091599615082318,0.1280444489248111,2.8563211521987517,0.1654252441745179,6.980339923906148,2.3749664179366796
3.0,1.5,bps_pbc,w/o KAS,2,0.25390625,0.0497184455521791,0.25390625,0.0497184455521791,0.3594020135600078,0.0812669939967407,1.411209321916592,0.0437321261776856,1.411209321916592,0.0437321261776856,4.312713043298572,0.491611362596672,21.42480374313891,1.428961559154904,23.48532561380416,1.2223686314273834,25.85283989967779,1.2460640341514186,0.1109329624070469,0.0178766759319178,1.8469215589208583,0.0371447625461805,2.8605836471705723,0.1251648504084898,6.073751368075613,0.3943852581813632
3.5,1.75,bps_pbc,w/o KAS,2,0.2265625,0.0773398041922786,0.2265625,0.0773398041922786,0.3225546770861497,0.1232133119293029,1.4132057950245978,0.0614234591280865,1.4132057950245978,0.0614234591280865,6.62433939659968,1.0740218521616058,25.510049429629,3.389130477022043,33.16104525630362,4.9587625857548465,34.94832059059292,5.006489945760595,0.1187494947120227,0.0215731820709965,1.999698319674159,0.0485781047235571,2.993863815965339,0.106944601633641,6.011266970019794,0.2431738669275211
4.0,2.0,bps_pbc,w/o KAS,2,0.2109375,0.0883883476483184,0.2109375,0.0883883476483184,0.3006398411786674,0.1373019585975657,1.4129233888948458,0.0588610128568313,1.4129233888948458,0.0588610128568313,7.551304045598954,2.0546922550882725,29.459203918650744,2.955450570413398,35.68836432164535,3.655839031204489,36.87146028521471,4.0104378543685,0.1144256901638813,0.0214128684246714,1.9432244163675865,0.0366323167872772,2.924866493942683,0.029772541377821,6.26748184482847,0.6464583743346352
4.5,2.25,bps_pbc,w/o KAS,2,0.20703125,0.0828640759202985,0.20703125,0.0828640759202985,0.2964356775905979,0.1340530605661029,1.4156526058031114,0.0808878638469575,1.4156526058031114,0.0808878638469575,9.84661843534559,1.810865688050881,32.21631523789838,1.8806621516344928,38.822579936729745,5.955413469817548,39.774162283204504,5.849625020074939,0.1178132979945907,0.0208684418206384,1.9538048150836087,0.0207937217632749,3.0160687666192354,0.108181917230259,7.097374860467394,0.4714776993718945
5.0,2.5,bps_pbc,w/o KAS,2,0.20703125,0.0939126193763383,0.20703125,0.0939126193763383,0.2932054583987531,0.1472563488084471,1.3988315354692165,0.0767440434538636,1.3988315354692165,0.0767440434538636,10.108255269937215,3.59357699417108,35.785849013738336,2.7463834074659466,37.13819436784834,1.2461342450321764,41.76140640494414,4.216547258198008,0.1266824045654018,0.0188009505740392,2.146047679579757,0.1731623665646796,3.1579439952131367,0.1616778946081419,7.828121724235833,0.4926249148894836
1.5,0.75,fcfs,DistServe,2,0.734375,0.0331456303681194,0.734375,0.0331456303681194,0.9591087589735384,0.0636262050934001,1.305394837189742,0.0277216276908358,1.305394837189742,0.0277216276908358,0.0754910828545689,7.308263531789025e-05,0.2011019791476428,0.0117692241408198,0.226749777328223,0.0005853596665571,0.2687768336758018,0.0078636866079502,0.0347311521336889,0.0029140964597502,0.4083923059737397,0.1859418656553919,0.7125983009246251,0.2480054963910504,1.6972259887103012,0.9299774512352836
2.0,1.0,fcfs,DistServe,2,0.4765625,0.0331456303681194,0.4765625,0.0331456303681194,0.6802055214472751,0.0590505092647158,1.4264576469545855,0.0246970153190437,1.4264576469545855,0.0246970153190437,0.1026775524951517,0.0055870106047509,3.520976383704692,4.510220049982877,4.794374522427101,4.640147718879574,7.061200598515571,4.278736925049065,0.0883801127484116,0.0249620530374166,1.244242678341371,0.0522281557206245,2.1447493236906094,0.2006720747808638,5.208298004167157,2.0882062382044433
2.5,1.25,fcfs,DistServe,2,0.26171875,0.0497184455521791,0.26171875,0.0497184455521791,0.3774983433295706,0.081393910727724,1.4388037068355972,0.0376695478224045,1.4388037068355972,0.0376695478224045,1.5905740256421268,0.3796476576178017,13.779723551589996,2.1209721875418848,14.40015982571058,2.54836296914045,17.350763654774056,1.2041559876690302,0.1078164481660201,0.0138321853798039,1.5652709430150151,0.0594543123815739,2.6853758310566547,0.3715779758356192,6.791252912217756,2.1298708416054
3.0,1.5,fcfs,DistServe,2,0.25390625,0.0607669890082189,0.25390625,0.0607669890082189,0.3685334212159802,0.0995291851231303,1.4459581754415167,0.045932940090019,1.4459581754415167,0.045932940090019,5.656254334375262,0.1799849292103543,20.314524863753466,0.9890605111272426,21.37521683415398,1.0234826538963424,24.315400702916087,0.8530902670646376,0.1075191974020751,0.0156329209987453,1.7944433779693991,0.0002698555500813,2.787445762377856,0.3593517152714603,7.2193544292263745,1.593823937269086
3.5,1.75,fcfs,DistServe,2,0.21875,0.0883883476483184,0.21875,0.0883883476483184,0.3197943430296394,0.1394925628818154,1.451582668038991,0.0511523171607384,1.451582668038991,0.0511523171607384,8.368693170137703,0.0932414782290069,24.972482741996643,0.2932537843201004,26.230527770286425,0.1376289538981963,29.087750017587098,2.392482879834,0.1114739477010541,0.0165619447822716,1.8590007479459816,0.0552534118138012,2.954419835784166,0.1770872766306457,7.241644356632611,1.37893727176964
4.0,2.0,fcfs,DistServe,2,0.20703125,0.0828640759202985,0.20703125,0.0828640759202985,0.3031405392706251,0.1312794582787327,1.4537728449438818,0.0522332492531174,1.4537728449438818,0.0522332492531174,10.37984253372997,0.3072245394781325,28.5464476452209,0.1238799626154007,29.84772292422131,1.0489639774590498,32.63955166119151,3.5557275035697766,0.1122536785895899,0.0182862902421379,1.892494226364394,0.0896174598817744,3.0463012377483185,0.1395773715732595,7.197151070754051,1.3262941997578774
4.5,2.25,fcfs,DistServe,2,0.1953125,0.0994368911043582,0.1953125,0.0994368911043582,0.2875085167225181,0.1559504474606345,1.457705964166243,0.0563235749870709,1.457705964166243,0.0563235749870709,11.89466355741024,0.3688296422765928,31.452537847496565,0.3712467295309544,32.66883319215849,1.828818390660062,35.37690560061485,4.541178956048497,0.1128420932946254,0.0193916941233662,1.8987593606127688,0.0852151311031248,3.031096882230295,0.2539946654183123,7.1999233298422824,1.3252342573706342
5.0,2.5,fcfs,DistServe,2,0.19140625,0.1049611628323781,0.19140625,0.1049611628323781,0.2824771672905388,0.1646817306914273,1.4593101045404795,0.0601382932157085,1.4593101045404795,0.0601382932157085,13.15504388557747,0.3835755805799791,33.81956032607704,0.7148266223917632,35.151570335589355,2.175696960488519,37.6407358082477,5.284742343719261,0.1128883624203306,0.0203339154771689,1.909583819497909,0.0514477455356091,3.030862942300739,0.3367560184228034,7.212509520291357,1.3350557507948972
1.5,0.75,kas_pbc,w/o BPS,2,0.7734375,0.055242717280199,0.7734375,0.055242717280199,0.968372585749334,0.0440511206828716,1.2531998920905458,0.0325547269837088,1.2531998920905458,0.0325547269837088,0.0756684537045657,0.0008262553792861,0.1999053810723126,0.0193419654690419,0.2299478547647595,0.0029846548922437,0.2703111829888076,0.0158022032990704,0.0369661746838779,0.0022804128871655,0.3246022883436775,0.126149659325337,0.5788224693644921,0.2319729121365312,1.145771646695833,0.3605816826922826
2.0,1.0,kas_pbc,w/o BPS,2,0.46484375,0.0165728151840597,0.46484375,0.0165728151840597,0.6063545604419638,0.1012138454019764,1.30137226823367,0.1713402478034376,1.30137226823367,0.1713402478034376,0.1116346586495637,0.0091883949311895,3.894023311510681,2.9974703345856515,5.66255306461826,3.887878745259712,8.017214217483998,2.167488155939359,0.079316720028791,0.0135633654777629,1.22574049632065,0.0631318014341818,2.137362451054867,0.1334647463983457,4.371007896349768,1.332659272045531
2.5,1.25,kas_pbc,w/o BPS,2,0.28515625,0.0718155324642587,0.28515625,0.0718155324642587,0.3784865156517412,0.1413929616091733,1.3062834930614802,0.1668612103213285,1.3062834930614802,0.1668612103213285,2.7151929568499327,0.1625989603899947,13.901400128006934,0.6810688588349956,15.631530414661391,1.6634887624943897,18.919895668039096,2.366029482107978,0.0939823690527106,0.0191148891782681,1.6534861651466537,0.1952433711852671,2.385027196416078,0.0404659117738095,5.470657706563366,0.7927337888679956
