combo,combo_title,policy,policy_label,per_gpu_rate,slo_attainment_completed,goodput_req_s,throughput_completed_req_s,ttft_s_median,ttft_s_p90,ttft_s_p99,tpot_s_median,tpot_s_p90,tpot_s_p99
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,4.75,0.0885416666666666,0.07922154843766095,0.8883617960315286,48.67126273410395,81.14264936372638,83.18692305064761,0.08074498813774464,2.7952568204763035,10.615980364894485
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,5.0,0.0885416666666666,0.0791757109686191,0.8879447230326594,48.92395702190697,81.60500856535509,83.69664967879653,0.08146464414536375,2.797645509351666,10.656771218078202
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,0.25,0.9635416666666667,0.4861150954548476,0.5045284252425191,0.405089199077338,0.5840440457686782,2.3110941166523835,0.0332679130369797,0.050639648688957054,0.449635423417906
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,0.5,0.7135416666666667,0.6694192667910298,0.9387048611993105,0.6459711748175323,5.758463265839964,9.32534255660139,0.0396064605536709,0.5875324990003975,3.9700090853807817
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,0.75,0.24479166666666663,0.2635238246869447,1.085946476691635,8.053360586520284,17.39407658111304,19.755003374209625,0.05777745678555214,0.7844927984485892,4.002202700031919
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,1.0,0.1979166666666666,0.21834200759992367,1.1051141227777523,11.847441814374179,28.88440788909793,30.43530073543079,0.05837513779913575,0.8577721819850719,3.9496050570858623
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,1.25,0.1979166666666666,0.2203222546389983,1.1136372978767208,15.73537315428257,36.868098319508135,37.72160603818483,0.05840216518845405,0.9212468480380873,4.046681529446503
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,1.5,0.1979166666666666,0.2217727436173011,1.1202507548588303,18.432610602583736,42.02994334837422,42.58364841872826,0.05822213093439735,0.8782580184051767,3.9941668245010056
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,1.75,0.1979166666666666,0.2222919622551193,1.1225197309014874,20.401434877421707,45.72890467196703,46.411405050894246,0.05868295795905085,0.8882960516959428,3.956712265312669
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,2.0,0.1979166666666666,0.22226506228691634,1.1224423029716273,22.103447184432298,48.61787596810609,49.57781400857493,0.0577084037099078,0.897918229107745,3.948170512914655
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,2.25,0.1979166666666666,0.2222462839927593,1.1223565880415811,23.43685037875548,50.87760450551286,52.05959220402874,0.0579454056658137,0.897250779531896,3.9350514250807436
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,2.5,0.19270833333333331,0.21642262328715287,1.1223965101263524,24.52964975265786,52.66120315110311,54.05416537462733,0.058077418891212956,0.8983450251165777,3.939868316706267
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,2.75,0.19270833333333331,0.21636872315813704,1.122169279209217,25.396221848670393,54.12112575490028,55.67227256251499,0.05732052652399635,0.8936867959331721,3.9576899001141985
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,3.0,0.1875,0.2107117952961926,1.1232469448312505,26.081611797213554,55.2710440531373,56.964593505254015,0.05891804780500625,0.8986398368841038,3.948076751152982
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,3.25,0.1875,0.2108413048294242,1.1239516166993295,26.65761929145083,56.23572887899354,58.06965694632381,0.05846931910352955,0.8984669618774206,3.9452885176986427
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,3.5,0.1875,0.2106482819498067,1.1230391676525016,27.218093635048717,57.19045299850404,59.1178351605311,0.0584614547593996,0.8948140125721693,3.956205034698357
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,3.75,0.1875,0.21037274376848059,1.1215065399834525,27.757607508916408,58.0291690886952,60.0634071039036,0.058261313111497404,0.8977280985331163,3.940103927440939
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,4.0,0.1875,0.21041297460885275,1.1218209275267124,28.148975782096386,58.69212139211595,60.80114763481542,0.059059393436958346,0.9004579439759254,3.955074200732631
